.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Cimbaeth,54,38,1,1,FS_Ch01Genoa,0
ID_02,CimbaethSquadFighter,54,37,0,1,FS_Ch01Genoa,1
ID_03,CimbaethSquadFighter,53,38,0,1,FS_Ch01Genoa,2
ID_04,CimbaethSquadFighter,55,38,0,1,FS_Ch01Genoa,3
ID_05,CimbaethSquadBarbarian,54,36,0,1,FS_Ch01Genoa,4
ID_06,CimbaethSquadHunter,53,37,0,1,FS_Ch01Genoa,5
ID_07,CimbaethSquadHunter,55,37,0,1,FS_Ch01Genoa,6
ID_08,CimbaethSquadHunter,52,37,0,1,FS_Ch01Genoa,7
ID_09,CimbaethSquadHunter,56,37,0,1,FS_Ch01Genoa,8
ID_10,CimbaethSquadBarbarian,52,36,0,1,FS_Ch01Genoa,9
ID_11,CimbaethSquadBarbarian,56,36,0,1,FS_Ch01Genoa,10
ID_12,CimbaethSquadBarbarian,53,36,0,1,FS_Ch01Genoa,11
ID_13,CimbaethSquadBarbarian,55,36,0,1,FS_Ch01Genoa,12
ID_14,GenoaCommanderGuardWarrior,57,40,1,2,FS_Ch01Genoa,0
ID_15,Ayra,57,43,0,4,FS_Ch01Verdane,1
ID_16,GenoaGuardFighter,56,42,0,2,FS_Ch01Genoa,2
ID_17,GenoaGuardFighter,58,42,0,2,FS_Ch01Genoa,3
ID_18,GenoaGuardFighter,57,44,0,2,FS_Ch01Genoa,4
ID_19,CrossKnightCh01Cavalier,29,10,0,1,FS_Ch01Nordion,0
ID_20,$FFFF,0,0,0,0,0,0
