.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,ElliotCh02,13,40,1,1,FS_Ch02Heirhein,0
ID_02,HeirheinArmy10,13,39,0,1,FS_Ch02Heirhein,1
ID_03,HeirheinArmy10,13,41,0,1,FS_Ch02Heirhein,2
ID_04,HeirheinArmy10,14,40,0,1,FS_Ch02Heirhein,3
ID_05,HeirheinArmy11,14,39,0,1,FS_Ch02Heirhein,4
ID_06,HeirheinArmy11,14,41,0,1,FS_Ch02Heirhein,5
ID_07,HeirheinArmy11,13,38,0,1,FS_Ch02Heirhein,6
ID_08,HeirheinArmy11,13,42,0,1,FS_Ch02Heirhein,7
ID_09,HeirheinArmy11,14,38,0,1,FS_Ch02Heirhein,8
ID_10,HeirheinArmy11,14,42,0,1,FS_Ch02Heirhein,9
ID_11,Philip,11,40,1,2,FS_Ch02Heirhein,0
ID_12,HeirheinArmy3,12,40,0,2,FS_Ch02Heirhein,1
ID_13,HeirheinArmy4,11,39,0,2,FS_Ch02Heirhein,2
ID_14,HeirheinArmy4,11,41,0,2,FS_Ch02Heirhein,3
ID_15,HeirheinArmy6,12,38,0,2,FS_Ch02Heirhein,4
ID_16,HeirheinArmy6,12,42,0,2,FS_Ch02Heirhein,5
ID_17,HeirheinArmy7,13,36,0,2,FS_Ch02Heirhein,6
ID_18,HeirheinArmy7,13,44,0,2,FS_Ch02Heirhein,7
ID_19,HeirheinArmy7,14,36,0,2,FS_Ch02Heirhein,8
ID_20,HeirheinArmy7,14,44,0,2,FS_Ch02Heirhein,9
ID_21,HeirheinArmy8,12,37,0,2,FS_Ch02Heirhein,10
ID_22,HeirheinArmy8,12,43,0,2,FS_Ch02Heirhein,11
ID_23,Bordeaux,5,32,1,3,FS_Ch02Heirhein,0
ID_24,HeirheinArmy2,5,35,0,3,FS_Ch02Heirhein,1
ID_25,HeirheinArmy2,4,34,0,3,FS_Ch02Heirhein,2
ID_26,HeirheinArmy2,6,34,0,3,FS_Ch02Heirhein,3
ID_27,Lachesis,25,51,1,1,FS_Ch02Nordion,0
ID_28,Eva,25,54,0,1,FS_Ch02Nordion,1
ID_29,Eve,24,53,0,1,FS_Ch02Nordion,2
ID_30,Alva,26,53,0,1,FS_Ch02Nordion,3
ID_31,$FFFF,0,0,0,0,0,0
